primer_id	fn	rn
2009830	2013-3-26-163	2013-3-26-164
2502447	2013-3-26-165	2013-3-26-166
2510484	2013-3-26-167	2013-3-26-168
2579556	2013-3-26-169	2013-3-26-170
2124693	2013-3-26-171	2013-3-26-172
2092537	2013-3-26-173	2013-3-26-174
2046887	2013-3-26-175	2013-3-26-176
2514060	2013-3-26-177	2013-3-26-178
2505926	2013-3-26-179	2013-3-26-180
2535383	2013-3-26-181	2013-3-26-182
2013032302	2013-3-26-183	2013-3-26-184
2120343	2013-3-26-185	2013-3-26-186
2524362	2013-3-26-187	2013-3-26-188
2586027	2013-3-26-189	2013-3-26-190
2083986	2013-3-26-191	2013-3-26-192
2084953	2013-3-26-193	2013-3-26-194
2546008	2013-3-26-195	2013-3-26-196
2561924	2013-3-26-197	2013-3-26-198
2573077	2013-3-26-199	2013-3-26-200
2503551	2013-3-26-201	2013-3-26-202
2060969	2013-3-26-203	2013-3-26-204
2530199	2013-3-26-205	2013-3-26-206
2047544	2013-3-26-207	2013-3-26-208
2027061	2013-3-26-209	2013-3-26-210
2558827	2013-3-26-211	2013-3-26-212
2538117	2013-3-26-213	2013-3-26-214
2064274	2013-3-26-215	2013-3-26-216
2017790	2013-3-26-217	2013-3-26-218
2520624	2013-3-26-219	2013-3-26-220
2051579	2013-3-26-221	2013-3-26-222
2544432	2013-3-26-223	2013-3-26-224
2116157	2013-3-26-225	2013-3-26-226
2051888	2013-3-26-227	2013-3-26-228
2121150	2013-3-26-229	2013-3-26-230
2016053	2013-3-26-231	2013-3-26-232
2060124	2013-3-26-233	2013-3-26-234
2060067	2013-3-26-235	2013-3-26-236
2626532	2013-3-26-237	2013-3-26-238
2502891	2013-3-26-239	2013-3-26-240
2038169	2013-3-26-241	2013-3-26-242
2605363	2013-3-26-243	2013-3-26-244
2563222	2013-3-26-245	2013-3-26-246
2543787	2013-3-26-247	2013-3-26-248
2567754	2013-3-26-249	2013-3-26-250
2524901	2013-3-26-251	2013-3-26-252
2518325	2013-3-26-253	2013-3-26-254
2500555	2013-3-26-255	2013-3-26-256
2061873	2013-3-26-257	2013-3-26-258
2013032304	2013-3-26-259	2013-3-26-260
2506403	2013-3-26-261	2013-3-26-262
2036003	2013-3-26-263	2013-3-26-264
2055277	2013-3-26-265	2013-3-26-266
2535029	2013-3-26-267	2013-3-26-268
2636568	2013-3-26-269	2013-3-26-270
2127468	2013-3-26-271	2013-3-26-272
2516957	2013-3-26-273	2013-3-26-274
2629672	2013-3-26-275	2013-3-26-276
2097749	2013-3-26-277	2013-3-26-278
2105016	2013-3-26-279	2013-3-26-280
2036085	2013-3-26-281	2013-3-26-282
2607739	2013-3-26-283	2013-3-26-284
2570098	2013-3-26-285	2013-3-26-286
2637070	2013-3-26-287	2013-3-26-288
2630000	2013-3-26-289	2013-3-26-290
2622804	2013-3-26-291	2013-3-26-292
2013032305	2013-3-26-293	2013-3-26-294
2601253	2013-3-26-295	2013-3-26-296
2566646	2013-3-26-297	2013-3-26-298
2572756	2013-3-26-299	2013-3-26-300
2611765	2013-3-26-301	2013-3-26-302
2597786	2013-4-23-1	2013-4-23-2
2577042	2013-4-23-3	2013-4-23-4
2634516	2013-4-23-5	2013-4-23-6
2046098	2013-4-23-7	2013-4-23-8
2565582	2013-4-23-9	2013-4-23-10
2053270	2013-4-23-11	2013-4-23-12
2548527	2013-4-23-13	2013-4-23-14
2122588	2013-4-23-15	2013-4-23-16
2011037	2013-4-23-17	2013-4-23-18
2546499	2013-4-23-19	2013-4-23-20
2616788	2013-4-23-21	2013-4-23-22
2512439	2013-4-23-23	2013-4-23-24
2081598	2013-4-23-25	2013-4-23-26
2551149	2013-4-23-27	2013-4-23-28
2518239	2013-4-23-29	2013-4-23-30
2505690	2013-4-23-31	2013-4-23-32
2582013	2013-4-23-33	2013-4-23-34
2507560	2013-4-23-35	2013-4-23-36
2605039	2013-4-23-37	2013-4-23-38
2510836	2013-4-23-39	2013-4-23-40
2556654	2013-4-23-41	2013-4-23-42
2030527	2013-4-23-43	2013-4-23-44
2535019	2013-4-23-45	2013-4-23-46
2516577	2013-4-23-47	2013-4-23-48
2517843	2013-4-23-49	2013-4-23-50
2536941	2013-4-23-51	2013-4-23-52
2571377	2013-4-23-53	2013-4-23-54
2609900	2013-4-23-55	2013-4-23-56
2604871	2013-4-23-57	2013-4-23-58
2570187	2013-4-23-59	2013-4-23-60
2024272	2013-4-23-61	2013-4-23-62
2508724	2013-4-23-63	2013-4-23-64
3243338	20121010-1	20121010-2
3269047	20121010-3	20121010-4
3236627	20121010-5	20121010-6
2012100803	20121010-7	20121010-8
3243807	20121010-9	20121010-10
3249725	20121010-11	20121010-12
3264488	20121010-13	20121010-14
3266675	20121010-15	20121010-16
3233678	20121010-17	20121010-18
2012100802	20121010-19	20121010-20
2012100804	20121010-21	20121010-22
3259373	20121010-23	20121010-24
3267898	20121010-25	20121010-26
3238601	20121010-27	20121010-28
2012100805	20121010-29	20121010-30
3230070	20121010-31	20121010-32
3109467	20121010-33	20121010-34
3207494	20121010-35	20121010-36
2012100806	20121010-37	20121010-38
3272606	20121010-39	20121010-40
3202951	20121010-41	20121010-42
3201870	20121010-43	20121010-44
2012100807	20121010-45	20121010-46
2012100808	20121010-47	20121010-48
3204608	20121010-49	20121010-50
2012100801	20121010-51	20121010-52
4006696	4006696-1	4006696-2
4014976	4014976-1	4014976-2
4109493	4109493-1	4109493-2
4089100	4089100-1	4089100-2
2012122001	2012122001-1	2012122001-2
4088937	4088937-F	4088937-R
3207008	20130311-01	20130311-02
3207430	20130311-03	20130311-04
3003615	20130311-05	20130311-06
3081272	20130311-07	20130311-08
3053095	20130311-09	20130311-10
3081978	20130311-11	20130311-12
3260169	20130311-13	20130311-14
3100151	20130311-15	20130311-16
2013030801	20130311-17	20130311-18
3203286	20130311-19	20130311-20
3218395	20130311-21	20130311-22
3076278	20130311-23	20130311-24
3248157	20130311-25	20130311-26
3212137	20130311-27	20130311-28
2013030802	20130311-29	20130311-30
3246150	20130311-31	20130311-32
3078599	20130311-33	20130311-34
2013030803	20130311-35	20130311-36
3233530	20130311-37	20130311-38
2013030804	20130311-39	20130311-40
3224795	20130701-1	20130701-2
6230799	20130802-1	20130802-2
6247001	20130802-3	20130802-4
6257207	20130802-5	20130802-6
6201343	20130802-7	20130802-8
6239542	20130802-9	20130802-10
40855	20130802-11	20130802-12
52142	20130802-13	20130802-14
6258074	20130802-15	20130802-16
6079109	20130802-17	20130802-18
6096137	20130802-19	20130802-20
6212430	20130802-21	20130802-22
6081055	20130802-23	20130802-24
6204103	20130802-25	20130802-26
6021169	20130802-27	20130802-28
6201576	20130802-29	20130802-30
6028936	20130802-31	20130802-32
6006278	20130802-33	20130802-34
16264	20130802-35	20130802-36
69293	20130802-37	20130802-38
6203865	20130802-39	20130802-40
15521	20130802-41	20130802-42
6007358	20130802-43	20130802-44
6009208	20130802-45	20130802-46
6219618	20130802-47	20130802-48
6241299	20130802-49	20130802-50
6087585	20130802-51	20130802-52
6034028	20130802-53	20130802-54
6005445	20130802-55	20130802-56
6025425	20130802-57	20130802-58
6088812	20130802-59	20130802-60
6250780	20130802-61	20130802-62
6200079	20130802-63	20130802-64
32009	20130802-65	20130802-66
6043258	20130802-67	20130802-68
6212882	20130802-69	20130802-70
6247863	20130802-71	20130802-72
106663	20130802-73	20130802-74
6205381	20130802-75	20130802-76
6253497	20130802-77	20130802-78
6221648	20130802-79	20130802-80
6063056	20130802-81	20130802-82
6014140	20130802-83	20130802-84
6209446	20130802-85	20130802-86
6007661	20130802-87	20130802-88
6040771	20130802-89	20130802-90
63040	20130802-91	20130802-92
6029117	20130802-93	20130802-94
30631	20130802-95	20130802-96
6011431	20130802-97	20130802-98
6209602	20130802-99	20130802-100
52457	20130802-101	20130802-102
2013080201	20130802-103	20130802-104
6220478	20130802-105	20130802-106
6219040	20130802-107	20130802-108
6079853	20130802-109	20130802-110
6242377	20130802-111	20130802-112
6026164	20130802-113	20130802-114
6205036	20130802-115	20130802-116
39116	20130802-117	20130802-118
6236070	20130802-119	20130802-120
6052639	20130802-121	20130802-122
6226591	20130802-123	20130802-124
6077622	20130802-125	20130802-126
6064889	20130802-127	20130802-128
6018679	2013-8-4-1	2013-8-4-2
6200553	2013-8-4-3	2013-8-4-4
2013081402	2013-8-4-5	2013-8-4-6
6225595	2013-8-4-7	2013-8-4-8
6205116	2013-8-4-9	2013-8-4-10
6054503	2013-8-4-11	2013-8-4-12
57723	2013-8-4-13	2013-8-4-14
62279	2013-8-4-15	2013-8-4-16
6099976	2013-8-4-17	2013-8-4-18
6005648	2013-8-4-19	2013-8-4-20
120968	2013-8-4-21	2013-8-4-22
6244563	2013-8-4-23	2013-8-4-24
6070398	2013-8-4-25	2013-8-4-26
6222636	2013-8-4-27	2013-8-4-28
2013081403	2013-8-4-29	2013-8-4-30
6015993	2013-8-4-31	2013-8-4-32
71620	2013-8-4-33	2013-8-4-34
6247849	2013-8-4-35	2013-8-4-36
6026251	2013-8-4-37	2013-8-4-38
6060792	2013-8-4-39	2013-8-4-40
6210201	2013-8-4-41	2013-8-4-42
60616	2013-8-4-43	2013-8-4-44
6250300	2013-8-4-45	2013-8-4-46
6025140	2013-8-4-47	2013-8-4-48
2013081401	2013-8-4-49	2013-8-4-50
6237878	2013-8-4-51	2013-8-4-52
6225075	2013-8-4-53	2013-8-4-54
6225981	2013-8-4-55	2013-8-4-56
6208958	2013-8-4-57	2013-8-4-58
6238983	2013-8-4-59	2013-8-4-60
